device_uptime_ms,raw_ir,raw_red,avg_ir,avg_red,detrended_ir,filtered_ir,beat_marker,bpm,contact_present,detector_filtered_ir,signal_amplitude
382610,253949,210108,253985,210206,-151.08,265.33,0.00,69.57,1,207.44,123.86
382650,253781,210019,253977,210200,-261.64,-483.78,0.00,69.57,1,167.71,123.86
382690,253709,209980,253968,210192,-273.58,-1099.59,0.00,69.57,1,116.00,123.86
382730,253687,209958,253963,210184,-242.38,-1497.55,0.00,69.57,1,59.83,123.86
382770,253604,209879,253960,210174,-266.81,-1872.48,0.00,69.57,1,2.31,123.86
382810,253580,209829,253954,210160,-238.47,-2090.09,0.00,69.57,1,-49.44,123.86
382850,253548,209799,253944,210144,-221.78,-2215.77,0.00,69.57,1,-94.43,123.86
382890,253525,209759,253932,210127,-200.72,-2258.20,0.00,69.57,1,-133.71,123.86
382930,253451,209709,253915,210109,-225.27,-2356.10,0.00,69.57,1,-167.76,123.86
382970,253388,209665,253896,210089,-236.38,-2461.79,0.00,69.57,1,-198.98,123.86
383010,253386,209664,253878,210069,-195.47,-2436.23,0.00,69.57,1,-226.37,123.86
383050,253382,209658,253859,210049,-163.56,-2332.06,0.00,69.57,1,-249.70,123.86
383090,253382,209647,253837,210026,-134.12,-2173.10,0.00,69.57,1,-266.56,123.86
383130,253372,209630,253814,210003,-118.19,-2007.03,0.00,69.57,1,-276.10,123.86
383170,253367,209623,253790,209980,-101.02,-1832.17,0.00,69.57,1,-280.11,123.86
383210,253375,209621,253763,209955,-76.27,-1630.43,0.00,69.57,1,-279.39,123.86
383250,253317,209614,253731,209929,-110.09,-1562.38,0.00,69.57,1,-277.51,123.86
383290,253323,209614,253699,209904,-85.36,-1444.01,0.00,69.57,1,-274.13,123.86
383330,253268,209603,253663,209877,-115.09,-1430.17,0.00,69.57,1,-271.73,123.86
383370,253103,209577,253620,209850,-229.67,-1721.87,1000.00,69.97,1,-277.27,8.38
383410,252956,209566,253570,209821,-308.88,-2158.49,0.00,69.97,1,-292.40,8.38
383450,252875,209550,253514,209792,-319.70,-2527.64,0.00,69.97,1,-318.15,8.38
383490,252873,209555,253457,209762,-263.80,-2667.98,0.00,69.97,1,-349.35,8.38
383530,252896,209549,253406,209734,-197.45,-2602.30,0.00,69.97,1,-376.42,8.38
383570,252962,209557,253362,209709,-107.80,-2314.38,0.00,69.97,1,-391.18,8.38
383610,253023,209562,253325,209687,-38.38,-1906.53,0.00,69.97,1,-390.55,8.38
383650,253048,209563,253296,209669,-10.97,-1516.05,0.00,69.97,1,-377.21,8.38
383690,253050,209580,253269,209653,-7.36,-1201.95,0.00,69.97,1,-355.34,8.38
383730,253058,209573,253244,209637,0.53,-936.12,0.00,69.97,1,-329.74,8.38
383770,253061,209563,253222,209625,2.89,-722.54,0.00,69.97,1,-304.11,8.38
383810,253099,209560,253203,209614,33.53,-475.06,0.00,69.97,1,-278.29,8.38
383850,253132,209544,253186,209604,54.56,-226.50,0.00,69.97,1,-251.41,8.38
383890,253160,209557,253172,209596,67.70,2.07,0.00,69.97,1,-223.28,8.38
383930,253161,209552,253160,209589,56.34,150.36,0.00,69.97,1,-194.71,8.38
383970,253163,209575,253151,209586,47.84,243.59,0.00,69.97,1,-167.70,8.38
384010,253192,209578,253143,209582,63.02,356.36,0.00,69.97,1,-142.43,8.38
384050,253189,209573,253136,209579,49.22,407.90,0.00,69.97,1,-120.11,8.38
384090,253208,209555,253129,209575,55.94,465.84,0.00,69.97,1,-99.59,8.38
384130,253260,209565,253124,209573,88.52,597.03,0.00,69.97,1,-78.67,8.38
384170,253287,209558,253121,209570,94.72,715.74,0.00,69.97,1,-57.82,8.38
384210,253332,209573,253119,209568,114.56,860.72,0.00,69.97,1,-35.33,8.38
384250,253228,209560,253116,209566,8.66,694.22,0.00,69.97,1,-17.04,8.38
384290,253083,209537,253106,209563,-111.80,246.35,0.00,69.97,1,-10.32,8.38
384330,252901,209511,253092,209559,-240.91,-443.84,1000.00,68.18,1,-21.08,380.86
384370,252834,209490,253081,209556,-252.48,-1012.76,0.00,68.18,1,-49.51,380.86
384410,252835,209504,253076,209553,-206.22,-1334.37,0.00,68.18,1,-86.52,380.86
384450,252879,209512,253076,209552,-133.02,-1391.97,0.00,68.18,1,-121.64,380.86
384490,252928,209523,253078,209550,-68.89,-1267.61,0.00,68.18,1,-145.26,380.86
384530,252952,209539,253081,209550,-36.81,-1085.92,0.00,68.18,1,-156.10,380.86
384570,252939,209534,253080,209549,-40.84,-954.84,0.00,68.18,1,-157.73,380.86
384610,252942,209529,253076,209548,-31.03,-826.70,0.00,68.18,1,-154.08,380.86
384650,252950,209535,253072,209547,-18.89,-694.70,0.00,68.18,1,-148.20,380.86
384690,252987,209534,253070,209545,14.84,-502.68,0.00,68.18,1,-140.17,380.86
384720,253036,209545,253069,209544,52.36,-253.86,0.00,68.18,1,-128.09,380.86
384760,253085,209545,253070,209543,83.11,21.40,0.00,68.18,1,-111.20,380.86
384800,253157,209559,253072,209543,127.19,352.47,0.00,68.18,1,-88.30,380.86
384840,253281,209564,253078,209544,205.97,818.68,0.00,68.18,1,-57.57,380.86
384880,253383,209540,253087,209543,252.53,1305.25,0.00,68.18,1,-19.20,380.86
384920,253466,209520,253099,209542,275.14,1744.47,0.00,68.18,1,25.80,380.86
384960,253551,209519,253115,209540,295.31,2140.31,0.00,68.18,1,75.69,380.86
385000,253568,209492,253130,209536,256.09,2345.53,0.00,68.18,1,124.12,380.86
385040,253540,209460,253144,209532,187.03,2323.28,0.00,68.18,1,165.36,380.86
385080,253546,209459,253158,209528,158.28,2230.02,0.00,68.18,1,197.41,380.86
385120,253493,209441,253167,209523,86.33,1967.32,0.00,68.18,1,216.34,380.86
385160,253382,209417,253171,209517,-20.23,1481.09,0.00,68.18,1,219.81,380.86
385200,253300,209393,253169,209510,-83.83,933.94,1000.00,70.28,1,209.32,377.54
385240,253301,209387,253172,209503,-67.92,549.16,0.00,70.28,1,188.25,377.54
385280,253336,209380,253182,209497,-27.00,357.07,0.00,70.28,1,163.15,377.54
385320,253418,209388,253203,209492,45.09,397.56,0.00,70.28,1,143.35,377.54
385360,253466,209388,253228,209488,76.34,511.64,0.00,70.28,1,133.22,377.54
385400,253480,209389,253254,209483,74.08,594.65,0.00,70.28,1,131.08,377.54
385440,253481,209384,253278,209478,61.56,626.35,0.00,70.28,1,133.57,377.54
385480,253497,209379,253301,209472,63.59,656.44,0.00,70.28,1,136.80,377.54
385520,253531,209381,253324,209466,80.03,723.31,0.00,70.28,1,139.96,377.54
385560,253526,209379,253348,209460,61.53,726.62,0.00,70.28,1,142.23,377.54
385600,253598,209376,253374,209454,109.50,855.84,0.00,70.28,1,146.74,377.54
385640,253655,209378,253402,209447,136.53,1028.00,0.00,70.28,1,154.57,377.54
385680,253717,209387,253431,209442,162.80,1231.62,0.00,70.28,1,165.95,377.54
385720,253759,209371,253460,209435,167.94,1404.02,0.00,70.28,1,181.79,377.54
385760,253818,209368,253490,209427,186.09,1586.43,0.00,70.28,1,200.23,377.54
385800,253832,209367,253517,209420,164.08,1670.58,0.00,70.28,1,218.59,377.54
385840,253857,209351,253540,209411,155.05,1712.37,0.00,70.28,1,235.09,377.54
385880,253831,209332,253557,209403,105.81,1615.00,0.00,70.28,1,247.12,377.54
385920,253874,209338,253574,209396,122.03,1581.86,0.00,70.28,1,254.97,377.54
385960,253821,209300,253585,209387,56.61,1383.30,0.00,70.28,1,256.75,377.54
386000,253713,209281,253590,209378,-42.14,967.72,1000.00,71.22,1,248.44,125.68
386040,253535,209231,253590,209369,-180.52,278.26,0.00,71.22,1,226.34,125.68
386080,253431,209213,253586,209359,-233.30,-398.86,0.00,71.22,1,188.07,125.68
386120,253401,209212,253582,209350,-215.91,-881.10,0.00,71.22,1,139.10,125.68
386160,253422,209227,253584,209343,-159.83,-1109.21,0.00,71.22,1,88.11,125.68
386200,253475,209225,253591,209336,-87.59,-1096.43,0.00,71.22,1,45.89,125.68
386240,253519,209232,253599,209330,-35.75,-949.59,0.00,71.22,1,17.02,125.68
386280,253512,209233,253606,209324,-35.06,-833.25,0.00,71.22,1,-0.41,125.68
386320,253504,209208,253610,209317,-35.31,-743.16,0.00,71.22,1,-10.16,125.68
386360,253490,209191,253611,209309,-40.44,-686.42,0.00,71.22,1,-16.75,125.68
386400,253489,209183,253611,209301,-33.98,-625.13,0.00,71.22,1,-22.72,125.68
386440,253497,209173,253612,209292,-21.31,-543.86,0.00,71.22,1,-27.51,125.68
386480,253518,209174,253613,209284,-0.25,-424.87,0.00,71.22,1,-30.15,125.68
386520,253503,209164,253611,209275,-12.50,-364.40,0.00,71.22,1,-31.18,125.68
386560,253549,209164,253612,209267,27.47,-211.72,0.00,71.22,1,-29.01,125.68
386600,253583,209163,253612,209258,50.41,-32.07,0.00,71.22,1,-23.40,125.68
386640,253601,209157,253610,209249,56.09,123.08,0.00,71.22,1,-15.40,125.68
386680,253628,209155,253606,209240,68.14,275.89,0.00,71.22,1,-3.96,125.68
386720,253587,209138,253599,209231,22.25,273.93,0.00,71.22,1,6.30,125.68
386760,253608,209133,253591,209221,35.47,307.31,0.00,71.22,1,14.98,125.68
386800,253568,209119,253580,209211,-3.72,229.88,0.00,71.22,1,19.95,125.68
386840,253495,209087,253566,209201,-62.91,13.24,1000.00,70.38,1,17.90,51.12
386880,253360,209059,253547,209190,-162.28,-418.10,0.00,70.38,1,6.70,51.12
386920,253307,209045,253524,209178,-176.53,-792.16,0.00,70.38,1,-14.31,51.12
386960,253371,209069,253506,209169,-92.28,-861.51,0.00,70.38,1,-38.10,51.12
387000,253442,209069,253495,209160,-17.45,-718.05,0.00,70.38,1,-57.70,51.12
387040,253544,209093,253496,209155,69.33,-377.05,0.00,70.38,1,-64.04,51.12
387080,253592,209089,253502,209150,96.20,-40.13,0.00,70.38,1,-56.10,51.12
387120,253586,209083,253510,209145,73.97,163.98,0.00,70.38,1,-40.40,51.12
387160,253593,209081,253516,209139,66.39,303.18,0.00,70.38,1,-21.72,51.12
387200,253584,209068,253521,209133,47.06,360.72,0.00,70.38,1,-5.66,51.12
387240,253588,209043,253523,209125,41.88,391.91,0.00,70.38,1,6.37,51.12
387280,253581,209039,253526,209117,28.59,381.18,0.00,70.38,1,15.15,51.12
387320,253588,209026,253530,209110,29.19,374.38,0.00,70.38,1,21.34,51.12
387360,253555,209027,253532,209104,-3.12,283.76,0.00,70.38,1,24.51,51.12
387400,253559,209010,253535,209097,0.72,223.23,0.00,70.38,1,25.35,51.12
387440,253565,209008,253538,209090,5.52,188.68,1000.00,72.95,1,24.95,89.38
387480,253587,208989,253540,209083,22.56,206.74,0.00,72.95,1,24.25,89.38
387520,253560,208989,253543,209076,-3.64,151.64,0.00,72.95,1,23.58,89.38
387560,253522,208971,253542,209068,-34.14,28.15,0.00,72.95,1,21.20,89.38
387600,253457,208956,253537,209060,-81.30,-192.67,0.00,72.95,1,14.63,89.38
387640,253468,208954,253531,209052,-57.64,-302.45,0.00,72.95,1,4.53,89.38
387680,253429,208917,253523,209042,-79.25,-445.13,0.00,72.95,1,-8.57,89.38
387720,253326,208904,253513,209033,-149.44,-741.72,0.00,72.95,1,-26.45,89.38
387760,253209,208880,253497,209023,-218.48,-1155.34,0.00,72.95,1,-49.82,89.38
387800,253117,208861,253479,209012,-254.59,-1573.29,0.00,72.95,1,-81.27,89.38
387840,253082,208863,253462,209003,-237.47,-1854.08,0.00,72.95,1,-118.19,89.38
387880,253093,208855,253452,208995,-185.70,-1936.44,0.00,72.95,1,-153.98,89.38
387920,253143,208868,253445,208988,-111.28,-1804.21,0.00,72.95,1,-181.50,89.38
387960,253177,208865,253437,208980,-63.38,-1574.59,0.00,72.95,1,-197.17,89.38
388000,253176,208870,253427,208972,-52.78,-1367.52,0.00,72.95,1,-202.25,89.38
388040,253153,208870,253411,208963,-62.14,-1230.72,0.00,72.95,1,-200.70,89.38
388080,253138,208861,253393,208954,-63.25,-1126.94,0.00,72.95,1,-196.84,89.38
388120,253142,208867,253375,208945,-48.58,-1007.26,0.00,72.95,1,-192.54,89.38
388160,253154,208874,253358,208937,-30.00,-864.86,0.00,72.95,1,-187.44,89.38
388200,253167,208876,253341,208929,-13.94,-711.39,0.00,72.95,1,-180.31,89.38
388240,253187,208881,253325,208923,4.97,-541.77,0.00,72.95,1,-170.31,89.38
388280,253207,208877,253310,208916,20.47,-368.54,0.00,72.95,1,-157.62,89.38
388320,253226,208864,253295,208910,32.36,-202.03,0.00,72.95,1,-142.80,89.38
388360,253222,208846,253282,208903,23.25,-96.21,0.00,72.95,1,-127.28,89.38
388400,253183,208849,253267,208896,-12.92,-109.15,0.00,72.95,1,-113.91,89.38
388440,253154,208839,253251,208889,-34.38,-175.89,0.00,72.95,1,-104.38,89.38
388480,253153,208842,253233,208883,-29.00,-213.75,0.00,72.95,1,-98.70,89.38
388520,253143,208841,253217,208878,-31.98,-251.17,0.00,72.95,1,-96.27,89.38
388560,253148,208818,253202,208871,-22.12,-254.32,0.00,72.95,1,-94.50,89.38
388600,253066,208810,253186,208866,-85.38,-423.76,1000.00,70.28,1,-95.45,107.75
388640,252894,208768,253163,208858,-211.05,-887.70,0.00,70.28,1,-105.51,107.75
388680,252772,208752,253137,208852,-273.09,-1413.37,0.00,70.28,1,-126.94,107.75
388720,252737,208763,253113,208846,-252.64,-1769.40,0.00,70.28,1,-158.30,107.75
388760,252760,208758,253095,208841,-188.31,-1877.28,0.00,70.28,1,-192.34,107.75
388800,252819,208772,253083,208837,-106.03,-1744.20,0.00,70.28,1,-218.35,107.75
388840,252838,208776,253074,208834,-71.36,-1548.86,0.00,70.28,1,-232.10,107.75
388880,252867,208769,253065,208831,-34.73,-1299.81,0.00,70.28,1,-233.75,107.75
388920,252843,208761,253053,208826,-48.16,-1140.99,0.00,70.28,1,-228.19,107.75
388960,252817,208752,253038,208822,-60.81,-1050.51,0.00,70.28,1,-220.80,107.75
389000,252848,208757,253025,208817,-24.45,-883.96,0.00,70.28,1,-211.62,107.75
389040,252819,208762,253012,208813,-43.83,-805.19,0.00,70.28,1,-203.64,107.75
389080,252852,208760,253000,208809,-8.88,-651.48,0.00,70.28,1,-194.32,107.75
389120,252887,208757,252990,208804,21.42,-451.60,0.00,70.28,1,-181.58,107.75
389160,252940,208775,252981,208801,61.03,-191.13,0.00,70.28,1,-165.55,107.75
