device_uptime_ms,raw_ir,raw_red,avg_ir,avg_red,detrended_ir,filtered_ir,beat_marker,bpm
374787,249205,198841,248495,198540,888.84,2128.94,0.00,63.98
374827,249339,198880,248513,198545,971.70,2480.51,0.00,63.98
374867,249571,198958,248527,198550,1143.52,2899.22,0.00,63.98
374907,249843,199070,248539,198553,1344.73,3395.17,0.00,63.98
374947,250015,199123,248552,198558,1440.89,3868.84,0.00,63.98
374987,248582,198518,248502,198535,7.50,3101.08,0.00,63.98
375027,247001,197861,248378,198483,-1494.83,1285.00,0.00,63.98
375067,246451,197638,248229,198420,-1942.59,-526.08,0.00,63.98
375107,246549,197677,248151,198386,-1752.36,-1822.75,0.00,63.98
375147,246836,197802,248147,198382,-1392.09,-2571.87,0.00,63.98
375187,247170,197948,248169,198389,-1005.19,-2861.65,0.00,63.98
375227,247516,198098,248198,198399,-626.23,-2790.31,0.00,63.98
375267,247645,198144,248219,198406,-472.38,-2610.15,0.00,63.98
375307,247461,198086,248214,198401,-623.56,-2586.97,0.00,63.98
375347,247274,198005,248179,198385,-770.03,-2685.60,0.00,63.98
375387,247355,198041,248143,198370,-654.58,-2672.14,0.00,63.98
375427,247485,198095,248124,198361,-498.34,-2536.39,0.00,63.98
375467,247684,198180,248120,198358,-284.38,-2256.61,0.00,63.98
375507,247947,198290,248128,198360,-20.31,-1821.54,0.00,63.98
375547,248238,198386,248143,198364,257.16,-1251.51,0.00,63.98
375587,248569,198513,248154,198367,558.75,-554.20,0.00,63.98
375627,248789,198603,248157,198366,739.81,148.49,0.00,63.98
375667,249014,198682,248157,198363,916.58,852.05,0.00,63.98
375707,249325,198797,248162,198362,1166.20,1614.60,1614.60,64.69
375747,249588,198886,248178,198364,1357.75,2377.88,0.00,64.69
375787,249771,198954,248200,198369,1463.72,3073.28,0.00,64.69
375827,249823,198975,248220,198373,1439.94,3610.58,0.00,64.69
375867,248212,198326,248165,198347,-162.52,2758.45,0.00,64.69
375907,246673,197717,248038,198293,-1616.44,913.61,0.00,64.69
375947,246208,197537,247886,198230,-1977.36,-851.00,0.00,64.69
375987,246205,197556,247791,198191,-1881.34,-2185.88,0.00,64.69
376027,246449,197643,247769,198183,-1555.47,-2993.08,0.00,64.69
376067,246685,197762,247778,198188,-1253.50,-3397.26,0.00,64.69
376107,246974,197887,247795,198196,-916.28,-3450.83,0.00,64.69
376147,247090,197925,247806,198201,-760.27,-3368.88,0.00,64.69
376187,246990,197878,247798,198198,-817.25,-3348.90,0.00,64.69
376227,246967,197859,247776,198189,-798.23,-3317.71,0.00,64.69
376267,247023,197905,247751,198179,-705.12,-3218.27,0.00,64.69
376307,247204,197982,247741,198175,-497.92,-2972.95,0.00,64.69
376347,247525,198098,247751,198179,-168.08,-2512.82,0.00,64.69
376387,247858,198221,247771,198186,156.67,-1884.92,0.00,64.69
376427,248156,198305,247798,198194,431.94,-1162.39,0.00,64.69
376467,248478,198440,247830,198205,716.23,-356.92,0.00,64.69
376507,248579,198487,247855,198212,776.38,335.56,0.00,64.69
376547,248544,198475,247867,198216,704.31,831.90,0.00,64.69
376587,248712,198540,247873,198217,828.70,1328.48,1328.48,65.40
376627,249099,198664,247886,198220,1154.92,1986.72,0.00,65.40
376667,249420,198789,247902,198224,1402.12,2711.08,0.00,65.40
376707,249708,198894,247917,198228,1605.62,3453.36,0.00,65.40
376747,248743,198502,247883,198212,608.59,3249.57,0.00,65.40
376787,246842,197751,247766,198164,-1227.78,1617.43,0.00,65.40
376827,246126,197467,247618,198104,-1846.59,-183.33,0.00,65.40
376867,245958,197426,247528,198068,-1913.86,-1677.75,0.00,65.40
376907,246183,197543,247509,198061,-1604.42,-2625.74,0.00,65.40
376947,246553,197679,247522,198067,-1172.70,-3038.76,0.00,65.40
376987,247012,197861,247555,198079,-678.02,-2973.42,0.00,65.40
377027,247246,197941,247587,198091,-421.81,-2716.18,0.00,65.40
377067,247263,197945,247610,198098,-384.58,-2480.61,0.00,65.40
377107,247095,197880,247614,198098,-524.95,-2404.45,0.00,65.40
377147,247139,197893,247616,198097,-456.91,-2289.08,0.00,65.40
377187,247310,197974,247629,198100,-271.61,-2048.56,0.00,65.40
377227,247649,198095,247657,198110,64.02,-1587.63,0.00,65.40
377257,247984,198222,247695,198122,379.06,-966.86,0.00,65.40
377297,248346,198358,247741,198138,704.02,-210.27,0.00,65.40
377337,248653,198472,247786,198152,960.47,600.16,0.00,65.40
377377,248844,198547,247825,198166,1093.89,1355.24,1355.24,68.38
377417,248951,198594,247857,198177,1140.84,1996.87,0.00,68.38
377457,248848,198579,247872,198183,985.95,2386.26,0.00,68.38
377497,248836,198591,247882,198187,925.25,2649.20,0.00,68.38
377537,249081,198669,247904,198195,1111.73,3008.75,0.00,68.38
377577,249317,198751,247928,198203,1280.34,3431.28,0.00,68.38
377617,247997,198204,247884,198185,-37.67,2714.88,0.00,68.38
377657,246593,197636,247771,198138,-1369.59,1076.23,0.00,68.38
377697,246225,197493,247631,198082,-1650.72,-459.59,0.00,68.38
377737,246360,197551,247536,198044,-1439.94,-1519.62,0.00,68.38
377777,246751,197708,247532,198043,-996.48,-2012.89,0.00,68.38
377817,247312,197930,247580,198061,-413.70,-1941.27,0.00,68.38
377857,247839,198128,247655,198089,107.62,-1466.92,0.00,68.38
377897,247864,198128,247722,198113,126.00,-1072.73,0.00,68.38
377937,247618,198027,247765,198127,-114.00,-949.39,0.00,68.38
