device_uptime_ms,breath_carrier_g,breath_baseline_g,breath_detrended_g,breath_filtered_g,slope_g,amplitude_threshold_g,last_peak_value_g,last_trough_value_g,dynamic_acc_norm_g,gyro_norm_dps,motion_level_code,reject_reason_code,has_peak,has_trough,accepted_cycle_count,peak_trough_balance,acc_raw_x,acc_raw_y,acc_raw_z,gyro_raw_x,gyro_raw_y,gyro_raw_z
159448,0.61523,0.64768,-0.03245,-0.01091,-0.00079,0.01693,0.00883,-0.00488,0.03205,26.76282,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1868,-12100,10080,2140,753,-2673
159468,0.65918,0.64775,0.01143,-0.00359,0.00018,0.01693,0.00883,-0.00513,0.00440,25.46474,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1768,-12096,10800,2042,750,-2529
159488,0.63843,0.64770,-0.00927,-0.00545,-0.00006,0.01693,0.00883,-0.00513,0.01678,26.23066,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1868,-12108,10460,1982,757,-2703
159508,0.64941,0.64771,0.00171,-0.00311,0.00023,0.01693,0.00883,-0.00513,0.00963,26.87355,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1812,-12116,10640,2065,809,-2734
159528,0.64062,0.64767,-0.00704,-0.00440,0.00005,0.01693,0.00883,-0.00513,0.01443,26.51003,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1816,-12136,10496,2099,785,-2653
159548,0.64087,0.64763,-0.00676,-0.00517,-0.00005,0.01693,0.00883,-0.00513,0.01139,26.86771,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1696,-12216,10500,2143,800,-2675
159568,0.65356,0.64766,0.00590,-0.00154,0.00039,0.01693,0.00883,-0.00513,0.00756,26.43668,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1768,-12108,10708,2149,817,-2590
159588,0.63940,0.64761,-0.00821,-0.00373,0.00008,0.01693,0.00883,-0.00513,0.01768,26.39167,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1832,-12080,10476,2119,787,-2616
159608,0.64233,0.64758,-0.00525,-0.00423,0.00001,0.01693,0.00883,-0.00513,0.02025,26.28464,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1844,-11980,10524,2103,775,-2614
159628,0.64771,0.64758,0.00012,-0.00280,0.00018,0.01693,0.00883,-0.00513,0.01035,26.50303,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1844,-12120,10612,2079,752,-2677
159648,0.64136,0.64754,-0.00619,-0.00391,0.00003,0.01693,0.00883,-0.00513,0.01764,26.67431,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1812,-12056,10508,2091,733,-2702
159668,0.63867,0.64749,-0.00882,-0.00552,-0.00017,0.01693,0.00883,-0.00513,0.01730,26.07115,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1684,-12120,10464,2047,743,-2631
159688,0.63989,0.64744,-0.00755,-0.00619,-0.00023,0.01693,0.00883,-0.00513,0.02078,26.03671,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1704,-12024,10484,2112,740,-2574
159708,0.64722,0.64744,-0.00023,-0.00424,0.00003,0.01693,0.00883,-0.00513,0.01265,26.50407,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1712,-12096,10604,2073,762,-2679
159728,0.64331,0.64742,-0.00411,-0.00420,0.00003,0.01693,0.00883,-0.00513,0.01342,26.19737,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1760,-12128,10540,2085,783,-2611
159748,0.63843,0.64736,-0.00894,-0.00575,-0.00016,0.01693,0.00883,-0.00513,0.01862,25.96741,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1840,-12072,10460,2096,754,-2571
159768,0.64136,0.64733,-0.00597,-0.00583,-0.00015,0.01693,0.00883,-0.00513,0.01602,25.86121,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1808,-12092,10508,2090,759,-2556
159788,0.63452,0.64725,-0.01273,-0.00809,-0.00040,0.01693,0.00883,-0.00513,0.01602,26.35864,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1756,-12196,10396,2109,768,-2624
159808,0.65112,0.64727,0.00385,-0.00418,0.00012,0.01693,0.00883,-0.00514,0.00926,26.15345,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1808,-12100,10668,2111,781,-2583
159828,0.64282,0.64725,-0.00443,-0.00426,0.00009,0.01693,0.00883,-0.00514,0.01122,26.45949,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1912,-12160,10532,2092,764,-2656
159848,0.64307,0.64722,-0.00416,-0.00423,0.00008,0.01693,0.00883,-0.00514,0.01583,26.14384,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1780,-12076,10536,2139,775,-2560
159868,0.64429,0.64721,-0.00292,-0.00380,0.00013,0.01693,0.00883,-0.00514,0.02166,26.54367,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1796,-11928,10556,2135,754,-2639
159888,0.64282,0.64718,-0.00436,-0.00399,0.00009,0.01693,0.00883,-0.00514,0.01507,26.58619,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1808,-12092,10532,2110,748,-2668
159908,0.64185,0.64715,-0.00530,-0.00442,0.00003,0.01693,0.00883,-0.00514,0.01739,26.46839,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1880,-12044,10516,2072,761,-2674
159928,0.64404,0.64713,-0.00309,-0.00398,0.00008,0.01693,0.00883,-0.00514,0.01480,25.62418,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1756,-12088,10552,2090,758,-2515
159948,0.63940,0.64708,-0.00768,-0.00520,-0.00008,0.01693,0.00883,-0.00514,0.02115,26.06239,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1780,-12012,10476,2108,746,-2580
159968,0.64478,0.64707,-0.00229,-0.00425,0.00004,0.01693,0.00883,-0.00514,0.01722,26.53342,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1732,-12028,10564,2080,728,-2688
159988,0.63965,0.64702,-0.00738,-0.00528,-0.00008,0.01693,0.00883,-0.00514,0.01720,26.22585,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1744,-12100,10480,2065,715,-2651
160008,0.63721,0.64697,-0.00976,-0.00675,-0.00025,0.01693,0.00883,-0.00514,0.01765,26.29394,0.00000,5.00000,1.00000,1.00000,13.00000,4294967040.00000,1804,-12116,10440,2112,766,-2611
